Trade_ID,Trade_Date,Settlement_Date,Amount_USD,Status,Settlement_Delay
TRD1000,2025-05-01,2025-05-02,34213.01,Settled,1
TRD1001,2025-05-02,2025-05-04,14230.39,Settled,2
TRD1002,2025-05-03,2025-05-04,37024.51,Settled,1
TRD1003,2025-05-04,2025-05-05,48147.24,Settled,1
TRD1004,2025-05-05,2025-05-06,13188.9,Settled,1
TRD1005,2025-05-06,2025-05-07,29231.71,Settled,1
TRD1006,2025-05-07,2025-05-08,30010.05,Settled,1
TRD1007,2025-05-08,2025-05-10,29040.34,Settled,2
TRD1008,2025-05-09,2025-05-12,11931.0,Settled,3
TRD1009,2025-05-10,2025-05-11,47684.7,Pending,1
TRD1010,2025-05-11,2025-05-13,22909.14,Failed,2
TRD1011,2025-05-12,2025-05-13,42474.02,Settled,1
TRD1012,2025-05-13,2025-05-14,35274.48,Settled,1
TRD1013,2025-05-14,2025-05-17,15574.41,Settled,3
TRD1014,2025-05-15,2025-05-15,40876.09,Settled,0
TRD1015,2025-05-16,2025-05-16,20428.78,Pending,0
TRD1016,2025-05-17,2025-05-17,44174.06,Settled,0
TRD1017,2025-05-18,2025-05-20,29482.37,Settled,2
TRD1018,2025-05-19,2025-05-21,44205.03,Settled,2
TRD1019,2025-05-20,2025-05-22,34934.05,Pending,2
TRD1020,2025-05-21,2025-05-24,36537.46,Settled,3
TRD1021,2025-05-22,2025-05-24,25564.89,Pending,2
TRD1022,2025-05-23,2025-05-24,47848.1,Settled,1
TRD1023,2025-05-24,2025-05-26,32555.52,Pending,2
TRD1024,2025-05-25,2025-05-25,21768.9,Settled,0
TRD1025,2025-05-26,2025-05-27,30713.27,Failed,1
TRD1026,2025-05-27,2025-05-27,1940.47,Settled,0
TRD1027,2025-05-28,2025-05-31,15777.17,Settled,3
TRD1028,2025-05-29,2025-05-30,33348.5,Failed,1
TRD1029,2025-05-30,2025-05-31,15213.8,Pending,1
TRD1030,2025-05-31,2025-05-31,31282.76,Settled,0
TRD1031,2025-06-01,2025-06-03,22009.67,Settled,2
TRD1032,2025-06-02,2025-06-03,7638.23,Settled,1
TRD1033,2025-06-03,2025-06-04,15615.83,Settled,1
TRD1034,2025-06-04,2025-06-04,28928.28,Settled,0
TRD1035,2025-06-05,2025-06-06,29952.77,Settled,1
TRD1036,2025-06-06,2025-06-07,29141.94,Settled,1
TRD1037,2025-06-07,2025-06-08,33006.84,Settled,1
TRD1038,2025-06-08,2025-06-11,32953.06,Settled,3
TRD1039,2025-06-09,2025-06-10,22139.5,Settled,1
TRD1040,2025-06-10,2025-06-11,44930.78,Pending,1
TRD1041,2025-06-11,2025-06-12,19010.53,Settled,1
TRD1042,2025-06-12,2025-06-13,22357.38,Settled,1
TRD1043,2025-06-13,2025-06-13,44704.24,Settled,0
TRD1044,2025-06-14,2025-06-15,40503.51,Pending,1
TRD1045,2025-06-15,2025-06-16,35490.54,Settled,1
TRD1046,2025-06-16,2025-06-16,5911.12,Settled,0
TRD1047,2025-06-17,2025-06-17,46054.65,Settled,0
TRD1048,2025-06-18,2025-06-19,35997.82,Settled,1
TRD1049,2025-06-19,2025-06-20,49943.5,Settled,1
TRD1050,2025-06-20,2025-06-21,8322.97,Settled,1
TRD1051,2025-06-21,2025-06-22,43538.18,Failed,1
TRD1052,2025-06-22,2025-06-25,8962.15,Pending,3
TRD1053,2025-06-23,2025-06-23,31162.42,Pending,0
TRD1054,2025-06-24,2025-06-24,7067.18,Failed,0
TRD1055,2025-06-25,2025-06-25,42552.4,Settled,0
TRD1056,2025-06-26,2025-06-27,40558.63,Settled,1
TRD1057,2025-06-27,2025-06-27,28885.94,Settled,0
TRD1058,2025-06-28,2025-06-29,20951.98,Failed,1
TRD1059,2025-06-29,2025-06-29,4389.18,Settled,0
TRD1060,2025-06-30,2025-06-30,35174.01,Settled,0
TRD1061,2025-07-01,2025-07-01,23223.59,Settled,0
TRD1062,2025-07-02,2025-07-03,36380.72,Settled,1
TRD1063,2025-07-03,2025-07-03,43452.73,Failed,0
TRD1064,2025-07-04,2025-07-04,48800.55,Settled,0
TRD1065,2025-07-05,2025-07-06,42934.36,Pending,1
TRD1066,2025-07-06,2025-07-08,1573.99,Settled,2
TRD1067,2025-07-07,2025-07-07,18638.93,Settled,0
TRD1068,2025-07-08,2025-07-10,36769.54,Settled,2
TRD1069,2025-07-09,2025-07-09,9409.85,Settled,0
